Tesao,Tempo
3.2234432234432235,1
0.08058608058608059,2
0.16117216117216118,3
0.24175824175824176,4
0.32234432234432236,5
0.40293040293040294,6
0.4835164835164835,7
0.5641025641025641,8
0.6446886446886447,9
0.7252747252747253,10
0.8058608058608059,11
0.8864468864468864,12
0.967032967032967,13
1.0476190476190477,14
1.1282051282051282,15
1.2087912087912087,16
1.2893772893772895,17
1.36996336996337,18
1.4505494505494505,19
1.531135531135531,20
1.6117216117216118,21
1.6923076923076923,22
1.7728937728937728,23
1.8534798534798536,24
1.934065934065934,25
2.0146520146520146,26
2.0952380952380953,27
2.1758241758241756,28
2.2564102564102564,29
2.336996336996337,30
2.4175824175824174,31
2.498168498168498,32
2.578754578754579,33
2.659340659340659,34
2.73992673992674,35
2.8205128205128207,36
2.901098901098901,37
2.9816849816849818,38
3.062271062271062,39
3.142857142857143,40
3.2234432234432235,41
0.08058608058608059,42
0.16117216117216118,43
0.24175824175824176,44
0.32234432234432236,45
0.40293040293040294,46
0.4835164835164835,47
0.5641025641025641,48
0.6446886446886447,49
0.7252747252747253,50
0.8058608058608059,51
0.8864468864468864,52
0.967032967032967,53
1.0476190476190477,54
1.1282051282051282,55
1.2087912087912087,56
1.2893772893772895,57
1.36996336996337,58
1.4505494505494505,59
1.531135531135531,60
1.6117216117216118,61
1.6923076923076923,62
1.7728937728937728,63
1.8534798534798536,64
1.934065934065934,65
2.0146520146520146,66
2.0952380952380953,67
2.1758241758241756,68
2.2564102564102564,69
2.336996336996337,70
2.4175824175824174,71
2.498168498168498,72
2.578754578754579,73
2.659340659340659,74
2.73992673992674,75
2.8205128205128207,76
2.901098901098901,77
2.9816849816849818,78
3.062271062271062,79
3.142857142857143,80
3.2234432234432235,81
0.08058608058608059,82
0.16117216117216118,83
0.24175824175824176,84
0.32234432234432236,85
0.40293040293040294,86
0.4835164835164835,87
0.5641025641025641,88
0.6446886446886447,89
0.7252747252747253,90
0.8058608058608059,91
0.8864468864468864,92
0.967032967032967,93
1.0476190476190477,94
1.1282051282051282,95
1.2087912087912087,96
1.2893772893772895,97
1.36996336996337,98
1.4505494505494505,99
1.531135531135531,100
